Date,Precipitation,Temperature,PotentialET,ObservedQ,SnowPack,LiquidWater,RunoffFromSnow,SoilMoisture,Recharge,RunoffSoil,ActualET,UpperStorage,LowerStorage,QuickFlow,IntermediateFlow,Baseflow,Discharge
1981-01-15,0.1,21.9,0.24,0.103,0.0,0.0,0.067,450.0,0.2019190672153635,199.6250809327846,0.24,235.40891,28.7375,30.189239999999998,13.978850000000001,1.5125000000000002,45.68059
1981-01-16,0.1,21.9,0.24,0.1,0.0,0.0,0.067,449.76,0.067,0.0,0.24,198.5975053,27.538125,24.867109199999998,11.761295500000001,1.449375,38.0777797
1981-01-17,0.0,21.9,0.24,0.099,0.0,0.0,0.0,449.52,0.0,0.0,0.24,167.98842939899998,26.39871875,20.441700636,9.917375265,1.3894062500000002,31.748482151
1981-01-18,0.5,21.9,0.24,0.099,0.0,0.0,0.335,449.28107085693983,0.33392914306010074,0.0,0.24,142.86005758990984,25.3162828125,16.80868302504721,8.403617927103005,1.3324359375000001,26.544736889650217
1981-01-19,0.5,21.9,0.24,0.096,0.0,0.0,0.335,449.0426739015727,0.33339695536708597,0.0,0.24,122.00306727257984,24.287968671875,13.79321454543323,7.147172727263847,1.278314140625,22.218701413322076
1981-01-20,0.2,21.9,0.25,0.094,0.0,0.0,0.134,448.7935272948083,0.13314660676437076,0.0,0.25,104.5255575198557,23.31107023828125,11.266345665521305,6.094310693967211,1.22689843359375,18.587554793082266
1981-01-21,0.0,21.9,0.25,0.093,0.0,0.0,0.0,448.5435272948083,0.0,0.0,0.25,89.90871274148023,22.383016726367188,9.153066902382683,5.213777875992785,1.1780535119140625,15.544898290289531
1981-01-22,0.0,21.9,0.25,0.091,0.0,0.0,0.0,448.2935272948083,0.0,0.0,0.25,77.77673157542858,21.501365890048827,7.399045528977627,4.482935637074012,1.1316508363183595,13.013632002369997
1981-01-23,0.0,21.9,0.25,0.088,0.0,0.0,0.0,448.0435272948083,0.0,0.0,0.25,67.70718720760573,20.663797595546384,5.94320778905143,3.8763365787714292,1.0875682945024414,10.9071126623253
1981-01-24,0.0,21.9,0.25,0.087,0.0,0.0,0.0,447.7935272948083,0.0,0.0,0.25,59.34946538231276,19.868107715769064,4.734862464912687,3.3728593603802866,1.0456898797773193,9.153411705070292
1981-01-25,0.0,21.9,0.25,0.087,0.0,0.0,0.0,447.5435272948083,0.0,0.0,0.25,52.41255626731959,19.11220232998061,3.7319358458775307,2.954973269115638,1.0059053857884532,7.692814500781622
1981-01-26,0.0,21.9,0.25,0.087,0.0,0.0,0.0,447.2935272948083,0.0,0.0,0.25,46.65492170187526,18.39409221348158,2.8995067520783504,2.6081278133659795,0.9681101164990307,6.475744681943361
1981-01-27,0.0,21.9,0.25,0.086,0.0,0.0,0.0,447.0435272948083,0.0,0.0,0.25,41.876085012556466,17.7118876028075,2.208590604225031,2.320246085093763,0.9322046106740791,5.461041299992873
1981-01-28,0.1,21.9,0.25,0.086,0.0,0.0,0.067,446.79483919563216,0.06568809917615202,0.0,0.25,37.96417168273807,17.063793222667126,1.6430127734079139,2.084588655586631,0.8980943801403751,4.625695809134919
1981-01-29,0.3,21.9,0.25,0.086,0.0,0.0,0.201,446.54910359286146,0.19673560277071186,0.0,0.25,34.826053046972284,16.44810356153377,1.1893088742610531,1.895545364275439,0.8656896611333563,3.950543899669848
1981-01-30,0.5,21.9,0.26,0.083,0.0,0.0,0.335,446.2967516435484,0.3273519493130482,0.0,0.26,32.32982614691682,15.863198383457082,0.8284085995542397,1.7451702498142667,0.8349051780766885,3.408484027445195
1981-01-31,0.1,21.9,0.26,0.083,0.0,0.0,0.067,446.0383921860258,0.06535945752264523,0.0,0.26,30.04050405168476,15.307538464284228,0.49742227253273624,1.6072592802219736,0.8056599191728542,2.910341471927564
1981-02-01,0.0,21.9,0.26,0.082,0.0,0.0,0.0,445.7783921860258,0.0,0.0,0.26,28.08611836289835,14.779661541070016,0.21486048620217119,1.489525202584238,0.7778769232142114,2.482262612000621
1981-02-02,0.0,21.9,0.26,0.08,0.0,0.0,0.0,445.51839218602584,0.0,0.0,0.26,26.444312444753432,14.278178464016516,0.0,1.3918059181449176,0.7514830770535008,2.1432889951984184
1981-02-03,0.0,21.9,0.26,0.079,0.0,0.0,0.0,445.25839218602584,0.0,0.0,0.26,24.88459682251576,13.801769540815691,0.0,1.3097156222376718,0.7264089232008258,2.0361245454384975
1981-02-04,0.0,21.9,0.26,0.078,0.0,0.0,0.0,444.99839218602585,0.0,0.0,0.26,23.402866981389973,13.349181063774907,0.0,1.2317298411257882,0.7025884770407846,1.9343183181665728
1981-02-05,0.0,21.9,0.26,0.076,0.0,0.0,0.0,444.73839218602586,0.0,0.0,0.26,21.995223632320474,12.91922201058616,0.0,1.1576433490694986,0.6799590531887454,1.837602402258244
