Date,Precipitation,Temperature,PotentialET,ObservedQ,SnowPack,LiquidWater,RunoffFromSnow,SoilMoisture,Recharge,RunoffSoil,ActualET,UpperStorage,LowerStorage,QuickFlow,IntermediateFlow,Baseflow,Discharge
1984-09-14,2.3,10.9,0.9909999999999999,0.301,0.0,0.0,2.3,98.38135132717451,0.4285255440945002,0.0,0.8647706476382735,1.4626908198826778,7.874489096810672,0.0,0.11635605939600852,0.26333815188784043,0.37969421128384895
1984-09-15,0.2,10.7,0.958,0.292,0.0,0.0,0.2,97.69885672218224,0.037877874662282096,0.0,0.8446167303299895,0.8778626685449431,8.146577115696315,0.0,0.10659546936683728,0.2731080377816528,0.3797035071484901
1984-09-16,0.8,10.9,0.9249999999999999,0.285,0.0,0.0,0.8,97.53914908005092,0.14984269613860673,0.0,0.8098649459927101,0.4389891318876762,8.409542082335948,0.0,0.07081450523250665,0.28255034152094094,0.35336484675344765
1984-09-17,0.0,11.1,0.8919999999999999,0.278,0.0,0.0,0.0,96.75945326347676,0.0,0.0,0.7796958165741569,0.0,8.551841882225746,0.0,0.03399650765201162,0.29070596020417155,0.3247024678561832
1984-09-18,1.9,10.1,0.8589999999999999,0.273,0.0,0.0,1.9,97.56415696485188,0.35044778288798445,0.0,0.7448485157369067,0.0,8.603797823919956,0.0,0.00849968645032528,0.29590575638611727,0.30440544283644255
1984-09-19,24.0,8.9,0.8259999999999998,0.36,0.0,0.0,24.0,116.35654213368039,4.4854243986073605,0.0,0.7221904325641165,3.648164564522832,8.85143227940307,0.0,0.07063558677248893,0.30018901147422167,0.3708245982467106
1984-09-20,2.9,9.2,0.7929999999999999,0.523,0.0,0.0,2.9,117.74624162887405,0.7173005048063424,0.0,0.7929999999999999,3.5368280074868252,9.090763605316065,0.0,0.20975106725692208,0.30701101632456795,0.5167620835814901
1984-09-21,2.5,8.8,0.7599999999999999,0.529,0.0,0.0,2.5,118.85608771602303,0.6301539128510161,0.0,0.7599999999999999,3.3526119855122976,9.322070203792132,0.0,0.27250848615412004,0.3153165605482806,0.5878250467024007
1984-09-22,18.6,12.0,0.7269999999999999,0.611,0.0,0.0,18.6,131.9702397699415,4.7588479460815325,0.0,0.7269999999999999,7.013557772055121,9.545621142201332,0.0,0.33410228576346357,0.3233436216759906,0.6574459074394542
1984-09-23,4.8,11.7,0.694,0.799,0.0,0.0,4.8,134.62564043052387,1.4505993394176344,0.0,0.694,7.340902797409223,9.761676466143184,0.0,0.4786396549970505,0.3311015371854925,0.809741192182543
